league	apm	hotkeys	minimap	supply	mannered	unique	ami	avi	aum	auv	sq	workers
d	c	low medium high	c	c	c	c	c	c	c	c	c	c
class
6	71.5	low	20	6.67302192564	0	7	720.280373832	122.76635514	211.261682243	86.0560747664	81.1060397012	2.40228789323
6	79.1111111111	low	3	4.70366886171	0	6	984.678899083	288.293577982	301.422018349	195.28440367	83.7590599762	2.65286923801
2	28.2962962963	low	15	2.23413762288	0	3	361.131221719	94.1176470588	528.393665158	1007.49773756	5.03886591314	1.07238605898
6	59.4666666667	low	2	11.0375275938	0	5	774.725274725	176.703296703	427.67032967	403.604395604	50.3173882323	2.71523178808
5	87.6666666667	low	40	2.20750551876	0	5	749.02173913	100.869565217	717.173913043	122.239130435	45.1076868995	4.23841059603
5	46.4117647059	medium	13	5.07099391481	0	8	640.099009901	226.059405941	284.108910891	306.405940594	58.1974785291	1.88640973631
5	93.1176470588	medium	5	5.07099391481	0	8	997.7	278.88	254.85	404.32	74.0276596252	4.13793103448
2	83.7777777778	medium	5	5.54016620499	0	8	882.47706422	238.091743119	530.091743119	160.385321101	64.9228778482	3.10249307479
4	66.2777777778	medium	4	6.46352723915	0	4	926.759259259	223.555555556	435.277777778	198.203703704	69.3645185163	3.21329639889
6	78.4615384615	medium	9	20.6327372765	1	7	491.866666667	154.24	167.0	123.28	72.5012055623	2.39339752407
6	137.0	low	15	13.7551581843	0	6	764.459459459	156.972972973	213.851351351	101.918918919	82.7571616617	4.2090784044
6	74.2083333333	high	100	2.15982721382	0	8	777.714285714	237.371428571	251.964285714	187.528571429	75.6766087335	3.28293736501
4	159.571428571	medium	42	10.4250200481	0	8	1071.38582677	292.850393701	513.346456693	187.417322835	76.0891468879	3.12750601443
3	65.9090909091	medium	7	8.09061488673	0	5	507.301587302	82.2857142857	367.222222222	151.333333333	49.4840602096	2.6213592233
3	74.9090909091	low	1	21.0355987055	0	5	522.96875	97.75	139.140625	97.40625	78.4483403687	3.49514563107
6	105.166666667	low	38	12.5348189415	0	4	594.324324324	162.594594595	224.594594595	129.972972973	70.8127997019	3.09192200557
6	91.8333333333	low	17	2.78551532033	0	6	588.082191781	157.369863014	188.082191781	77.8219178082	80.3346746541	2.33983286908
6	84.3333333333	medium	26	2.86532951289	0	6	437.222222222	83.5555555556	167.847222222	60.6388888889	74.8696545483	2.92263610315
6	91.6666666667	low	7	2.86532951289	0	5	528.028169014	113.802816901	137.394366197	68.5352112676	84.3120969065	3.43839541547
2	18.679245283	low	18	4.10742496051	0	6	438.652037618	142.796238245	312.197492163	688.984326019	26.0676708498	1.21327014218
3	25.7142857143	low	2	1.20481927711	0	4	660.352941176	158.682352941	323.941176471	157.529411765	63.0831622517	2.24096385542
4	39.6315789474	medium	42	0.887311446318	0	2	297.192982456	80.4210526316	852.947368421	192.228070175	14.7886917878	1.33096716948
7	115.428571429	medium	26	4.05844155844	0	9	881.52	237.952	242.504	243.936	77.1297076561	2.72727272727
6	159.631578947	medium	21	13.6612021858	0	7	1478.46846847	365.261261261	482.432432432	403.837837838	90.8610723066	6.55737704918
5	145.428571429	high	30	3.34928229665	0	13	1298.71428571	561.980952381	5141.07142857	2067.79047619	18.3130137772	0.0
3	70.2380952381	low	77	3.59712230216	0	12	1128.53174603	377.968253968	1943.21428571	826.650793651	34.8072888435	3.42925659472
3	77.3076923077	low	59	19.2052980132	0	5	1263.02631579	243.894736842	417.993421053	1158.56578947	54.5518631964	2.50331125828
6	230.222222222	medium	102	1.92307692308	0	6	1379.23809524	374.552380952	808.142857143	180.542857143	82.72107584	6.51923076923
7	148.807692308	low	34	3.97614314115	0	9	1231.69934641	370.091503268	356.647058824	461.790849673	82.0469575581	4.37375745527
4	78.9523809524	low	9	4.9710024855	0	6	588.861788618	181.853658537	243.130081301	518.609756098	44.7096280082	2.73405136703
3	109.272727273	medium	12	8.22368421053	1	4	561.451612903	140.903225806	204.919354839	133.322580645	69.8462646451	2.66447368421
7	174.28125	medium	92	5.83244962884	0	12	1341.51832461	573.403141361	627.408376963	792.795811518	77.7710265695	4.51749734889
7	175.333333333	high	65	18.093249826	1	8	1409.23611111	357.666666667	400.569444444	559.284722222	84.3856404824	3.63256784969
7	207.375	medium	164	6.2630480167	0	9	1368.75862069	444.689655172	309.344827586	478.8	93.5159795763	4.6764091858
5	121.625	medium	59	5.3447354356	0	9	1490.63157895	652.715789474	2934.88947368	458.9	58.2339217942	4.42544094067
5	68.3	low	8	9.98336106489	0	4	407.704918033	59.5409836066	151.885245902	84.5245901639	71.10959975	2.29617304493
5	119.153846154	low	14	1.29785853342	0	8	1079.61783439	326.929936306	312.038216561	386.458598726	78.2313939287	4.4386761843
1	61.2857142857	medium	26	7.19424460432	0	4	435.238095238	83.4285714286	157.55952381	229.476190476	56.3219725855	2.94964028777
4	89.75	low	117	6.23268698061	0	9	1637.94520548	460.931506849	878.938356164	256.589041096	94.4213012348	4.61218836565
4	87.40625	low	151	1.05429625725	0	11	1470.05208333	488.0	853.671875	329.151041667	86.2405267006	3.35266209805
6	238.869565217	medium	101	9.65107646622	0	9	1388.89705882	486.352941176	323.125	557.022058824	92.6151222966	4.63251670379
6	110.366666667	high	61	2.80426247897	0	7	1409.10614525	491.709497207	1426.20111732	2078.4972067	45.4790196604	4.47560291643
6	168.064516129	medium	68	4.94233937397	0	10	1277.13513514	614.313513514	1749.37837838	1509.24864865	47.5778197124	3.22899505766
4	78.0	low	34	10.5900151286	0	6	831.804511278	204.992481203	793.157894737	293.954887218	45.0195934949	4.03933434191
6	114.090909091	low	21	6.32911392405	1	5	751.26984127	146.285714286	192.936507937	116.73015873	82.2954131338	4.55696202532
6	193.375	medium	152	5.28262017961	1	11	1430.2617801	566.19895288	805.942408377	1239.72774869	68.908466948	4.15213946117
6	131.3125	medium	110	5.28262017961	0	11	1207.23958333	387.833333333	591.692708333	482.677083333	72.2016128621	3.58161648177
6	182.52173913	medium	16	6.5264684554	0	6	909.357142857	213.714285714	518.435714286	337.385714286	57.5291139986	3.69833212473
6	87.6363636364	medium	13	8.13008130081	0	4	501.5625	35.0	201.328125	48.890625	72.4464281404	3.12195121951
6	156.909090909	medium	2	8.13008130081	0	4	545.873015873	157.206349206	285.158730159	163.873015873	59.9643799371	2.24390243902
6	174.954545455	high	125	10.8191653787	0	9	1407.76923077	366.892307692	923.5	365.307692308	74.4434727543	4.54404945904
5	95.0	medium	236	1.49105367793	0	8	1008.87254902	322.431372549	584.068627451	748.200980392	52.0236496774	3.57852882704
6	175.307692308	low	117	5.86319218241	0	9	1314.74358974	401.230769231	756.442307692	862.455128205	63.6484494641	4.92508143322
4	183.4	medium	314	15.9497341711	0	7	1136.15384615	614.461538462	1242.41826923	357.163461538	65.7295967399	3.1029482842
4	116.6875	low	427	3.89105058366	0	6	1120.80985915	476.225352113	712.024647887	427.014084507	70.2499394834	3.54439334984
4	86.9787234043	low	215	3.18358684117	0	8	807.122807018	356.154385965	1633.49122807	302.856140351	30.8795876882	2.41952599929
6	108.612903226	medium	60	3.23450134771	0	7	1310.69148936	354.893617021	2062.36702128	1043.19680851	38.4315360559	3.84905660377
5	103.035714286	medium	44	7.26392251816	0	11	1068.20359281	340.023952096	345.538922156	348.574850299	78.532254827	4.14043583535
5	252.952380952	low	6	4.83870967742	0	8	1292.85714286	426.412698413	257.619047619	372.341269841	96.8409998654	4.45161290323
4	123.451612903	low	97	6.57534246575	0	9	1224.54054054	419.2	575.891891892	446.886486486	76.2576252945	4.01095890411
6	173.565217391	medium	90	2.19458668617	0	8	1356.01449275	436.173913043	696.739130435	239.652173913	86.4642633319	3.99414776884
5	130.4375	medium	17	8.4835630965	0	10	1334.71204188	542.32460733	2522.36649215	745.109947644	46.7918441047	4.23117709438
2	19.6153846154	low	63	1.07204116638	0	8	815.14957265	320.102564103	3990.93376068	2379.71367521	-12.1456334019	0.82332761578
1	20.2179487179	medium	40	1.07204116638	0	10	817.087794433	355.254817987	1373.22912206	1282.90578158	20.2518727186	0.656089193825
1	24.8571428571	high	37	12.2448979592	0	10	896.585034014	327.129251701	1581.05102041	1042.21088435	23.151016153	0.897959183673
7	200.913043478	low	17	8.13008130081	0	9	1270.4379562	388.437956204	828.291970803	370.489051095	71.425982346	4.34589800443
1	37.3488372093	low	52	5.91249507292	0	10	1098.69565217	275.604743083	2061.04743083	643.711462451	29.3008220771	2.90894757588
6	176.333333333	medium	125	6.55021834061	0	9	1046.07758621	374.0	543.155172414	2186.16810345	31.1794061983	2.27947598253
